"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34605","Verify navigation back to dashboard","chromium","2026-02-04","passed","2026-02-04","Contract Details Page Verifications","ContractDetails.spec.ts","",""
"","29905","Verify Contract calculations and logic","chromium","2026-02-04","passed","2026-02-04","Contract Details Page Verifications","ContractDetails.spec.ts","",""
"","38994","Verify Summary card data presence","chromium","2026-02-04","passed","2026-02-04","Contract Details Page Verifications","ContractDetails.spec.ts","",""
"","39770","Verify Action buttons on contract details page","chromium","2026-02-04","passed","2026-02-04","Contract Details Page Verifications","ContractDetails.spec.ts","",""
"","87731","Verify Contract details page structure and visibility","chromium","2026-02-04","failed","2026-02-04","Contract Details Page Verifications","ContractDetails.spec.ts","",""
"","39107","Verify all payment values from grid","chromium","2026-02-04","passed","2026-02-04","Contract Details Page Verifications","ContractDetails.spec.ts","",""
